Graph
Time (Seconds),X (Meters),Y (Meters),Z (Meters)
0.000000,0.0000000019,-0.0000000075,0.005000
0.050000,0.0000000019,-0.0000000075,0.004794
0.100000,0.0000000019,-0.0000000075,0.004799
0.150000,0.0000000019,-0.0000000075,0.004800
0.200000,0.0000000019,-0.0000000075,0.004800
0.250000,0.0000000019,-0.0000000075,0.004800
0.300000,0.0000000019,-0.0000000075,0.004800
0.350000,0.0000000019,-0.0000000075,0.004800
0.400000,0.0000000019,-0.0000000075,0.004800
0.450000,0.0000000019,-0.0000000075,0.004800
0.500000,0.0000000019,-0.0000000075,0.004800
0.550000,0.0000000019,-0.0000000075,0.004800
0.600000,0.0000000019,-0.0000000075,0.004800
0.650000,0.0000000019,-0.0000000075,0.004800
0.700000,0.0000000019,-0.0000000075,0.004800
0.750000,0.0000000019,-0.0000000075,0.004800
0.800000,0.0000000019,-0.0000000075,0.004800
0.850000,0.0000000019,-0.0000000075,0.004800
0.900000,0.0000000019,-0.0000000075,0.004800
0.950000,0.0000000019,-0.0000000075,0.004800
1.000000,0.0000000019,-0.0000000075,0.004800
1.050000,0.0000000019,-0.0000000075,0.004800
1.100000,0.0000000019,-0.0000000075,0.004800
1.150000,0.0000000019,-0.0000000075,0.004800
1.200000,0.0000000019,-0.0000000075,0.004800
1.250000,0.0000000019,-0.0000000075,0.004800
1.300000,0.0000000019,-0.0000000075,0.004800
1.350000,0.0000000019,-0.0000000075,0.004800
1.400000,0.0000000019,-0.0000000075,0.004800
1.450000,0.0000000019,-0.0000000075,0.004800
1.500000,0.0000000019,-0.0000000075,0.004800
1.550000,0.0000000019,-0.0000000075,0.004800
1.600000,0.0000000019,-0.0000000075,0.004800
1.649999,0.0000000019,-0.0000000075,0.004800
1.699999,0.0000000019,-0.0000000075,0.004800
1.749999,0.0000000019,-0.0000000075,0.004800
1.799999,0.0000000019,-0.0000000075,0.004800
1.849999,0.0000000019,-0.0000000075,0.004800
1.899999,0.0000000019,-0.0000000075,0.004800
1.949999,0.0000000019,-0.0000000075,0.004800
1.999999,0.0000000019,-0.0000000075,0.004800
2.049999,0.0000000019,-0.0000000075,0.004800
2.099999,0.0000000019,-0.0000000075,0.004800
2.149999,0.0000000019,-0.0000000075,0.004800
2.199999,0.0000000019,-0.0000000075,0.004800
2.249999,0.0000000019,-0.0000000075,0.004800
2.299999,0.0000000019,-0.0000000075,0.004800
2.349999,0.0000000019,-0.0000000075,0.004800
2.399999,0.0000000019,-0.0000000075,0.004800
2.449999,0.0000000019,-0.0000000075,0.004800
